year,station,minValue
1990,166870,-35.0
1990,147270,-35.0
1952,192830,-35.5
1974,166870,-35.6
1974,179950,-35.6
1954,113410,-36.0
1992,179960,-36.1
1975,157860,-37.0
1972,167860,-37.5
2000,169860,-37.6
1995,182910,-37.6
1957,159970,-37.8
1989,166870,-38.2
1983,191900,-38.2
1953,183760,-38.4
2009,179960,-38.5
1993,191900,-39.0
1984,123480,-39.2
1984,191900,-39.2
2008,179960,-39.3
2008,179960,-39.3
1991,179960,-39.3
1973,166870,-39.3
2005,155790,-39.4
1964,166810,-39.5
1961,181900,-39.5
1970,179950,-39.6
2004,166940,-39.7
1988,170790,-39.9
1960,155910,-40.0
1960,160790,-40.0
1960,167710,-40.0
1997,179960,-40.2
1994,179960,-40.5
2006,169860,-40.6
2013,179960,-40.7
2007,169860,-40.7
2007,169860,-40.7
1963,181900,-41.0
1955,160790,-41.2
1969,181900,-41.5
2003,179960,-41.5
2010,191910,-41.7
1996,155790,-41.7
2011,179960,-42.0
1951,155910,-42.0
1968,179950,-42.0
1962,181900,-42.0
1962,181900,-42.0
1950,155910,-42.0
1982,113410,-42.2
1976,192830,-42.2
2002,169860,-42.2
2014,192840,-42.5
1977,179950,-42.5
1998,169860,-42.7
1998,169860,-42.7
2012,191910,-42.7
1958,159970,-43.0
1985,159970,-43.4
1985,166870,-43.4
1959,159970,-43.6
2001,112530,-44.0
1981,166870,-44.0
1981,166870,-44.0
1965,189780,-44.0
1979,112170,-44.0
1986,167860,-44.2
1971,166870,-44.3
1980,191900,-45.0
1980,191900,-45.0
1956,160790,-45.0
1967,166870,-45.4
1987,123480,-47.3
1978,155940,-47.7
1999,192830,-49.0
1999,192830,-49.0
1966,179950,-49.4
