year,month,value
2014,7,147681
2011,7,146656
2010,7,143419
2012,7,137477
2013,7,133657
2009,7,133008
2011,8,132734
2009,8,128349
2013,8,128235
2003,7,128133
2002,7,127956
2006,8,127622
2008,7,126973
2015,8,126260
2002,8,126073
2005,7,125294
2011,6,125193
2012,8,125037
2006,7,124794
2010,8,124417
2014,8,124045
1997,7,123496
2007,7,123218
2015,7,123098
2013,6,122181
1997,8,121154
2001,7,120529
1998,7,120230
2000,7,119769
2004,7,119536
1999,7,116385
2008,8,114272
2004,8,114168
2002,6,114034
2005,8,113950
2001,8,113937
2007,8,110428
2000,8,109201
2003,8,108501
1996,8,107758
1997,6,104696
1999,6,103227
2007,6,103046
2008,6,102900
2010,6,102716
2006,6,102588
2014,6,101711
1998,8,101387
1996,7,99916
2003,6,99693
2011,9,99335
1999,8,97437
2006,9,97181
2016,6,96979
2012,6,94513
2001,6,93375
2015,9,92015
2005,6,90724
2004,6,89628
1999,9,89418
2009,9,89106
2015,6,87963
2009,6,87787
2000,6,86592
2014,9,86090
1998,6,82608
2013,5,81996
2013,9,81960
1996,6,80440
2001,9,79657
1998,9,76535
1988,7,75521
2005,9,75494
2010,9,74816
1997,9,74472
1991,7,73385
2004,9,73334
1973,7,71522
1991,8,71185
2003,9,70459
2012,9,70427
1990,7,70031
1988,8,69913
1987,7,68135
1989,7,67880
1989,8,67793
1990,8,67604
1995,8,66920
1974,7,66277
2002,5,66116
2002,9,65928
1974,8,64470
1975,7,64408
1976,7,64109
2000,9,63837
1988,6,63572
1992,7,62911
1975,8,62565
2016,5,62270
2007,9,61346
1978,7,60998
2008,9,60989
1976,8,60898
2009,5,60867
1989,6,60822
1979,7,60719
1994,7,60691
1992,6,60683
1992,8,60392
1993,7,60018
1972,7,59848
1973,6,59803
1980,7,59748
1973,8,59703
1981,7,59509
1977,7,59155
2011,5,59106
1987,8,58589
1990,6,58581
2000,5,58351
1977,8,58128
1982,7,57766
2008,5,57392
2014,5,57250
1980,8,56900
1983,7,56777
1985,7,56649
1979,6,56643
1979,8,56629
1982,8,56506
1980,6,56314
1985,8,56163
