year,month,value
1972,10,378
1973,5,377
1973,6,377
1973,9,376
1972,8,376
1972,6,375
1972,5,375
1972,9,375
1971,8,375
1971,6,374
1971,9,374
1972,7,374
1971,5,373
1973,8,373
1974,8,372
1974,6,372
1974,5,370
1973,7,370
1970,8,370
1974,9,370
1971,7,370
1970,9,369
1970,6,369
1975,9,369
1976,5,369
1975,6,368
1976,6,368
1975,5,367
1975,8,367
1970,5,366
1976,9,365
1977,6,364
1967,5,363
1976,8,363
1974,7,362
1970,7,362
1967,9,361
1966,9,360
1966,6,360
1966,8,359
1967,6,359
1969,9,359
1965,9,358
1978,9,358
1967,8,358
1975,7,358
1968,6,357
1969,8,357
1968,8,357
1968,9,356
1976,7,356
1965,6,355
1968,5,355
1977,8,354
1965,8,354
1979,5,354
1966,5,354
1978,6,354
1977,9,353
1968,7,353
1966,7,352
1969,6,352
1978,5,352
1979,9,351
1967,7,351
1979,6,351
1977,5,351
1978,8,350
1977,7,350
1969,7,349
1965,7,349
1973,10,349
1971,10,347
1969,10,346
1979,7,345
1970,10,345
1996,6,345
1974,4,344
1965,5,344
1978,7,343
1996,5,342
1996,7,342
1996,8,341
1996,9,340
1997,9,340
1979,8,340
1978,10,340
1975,10,340
1982,6,339
1980,9,338
1997,6,338
1997,8,337
1983,6,337
1981,5,337
1980,5,337
1983,5,336
1969,5,335
1981,9,335
1965,10,335
1982,9,334
1981,8,334
1984,5,333
1997,7,333
1980,6,332
1983,9,332
1981,6,331
1980,8,330
1982,5,330
1999,6,330
1983,8,330
1999,7,329
1981,7,329
1999,9,328
1985,9,327
1984,9,327
1999,8,327
1998,6,326
1998,9,326
1998,7,326
1982,8,326
2002,6,326
1998,8,326
2000,8,325
1999,5,325
1985,5,325
1981,10,325
1984,6,324
2001,7,324
1980,7,324
2001,6,324
2002,7,324
2002,5,324
1985,6,324
1967,10,324
2003,6,323
1987,9,323
2001,8,323
2000,5,323
1987,6,323
1986,9,323
2002,9,323
1968,4,322
1998,5,322
1988,6,322
2002,8,322
2001,9,322
2000,9,322
2000,6,321
2004,5,321
1984,10,321
1982,7,321
2004,9,321
1991,6,321
2003,5,321
2003,7,321
1988,5,320
1987,5,320
2003,8,320
2000,7,320
2004,8,320
2003,9,320
1987,8,320
2010,6,320
2004,6,319
1987,7,319
2010,5,319
2004,7,319
1983,7,319
2011,7,319
1997,5,319
1989,5,318
1995,8,318
1984,8,318
2011,6,318
2010,8,318
2010,7,318
1985,10,317
1987,10,317
1986,5,317
1989,8,316
2008,6,316
1989,9,316
1988,8,316
2008,5,316
2010,9,316
1990,8,316
2011,8,316
2011,9,315
1991,8,315
1995,9,315
1982,10,315
1989,6,315
2001,5,315
2011,5,315
2000,10,315
1988,9,315
2008,7,314
1986,6,314
1991,7,314
1985,8,314
1990,6,313
2008,8,313
1984,4,313
1984,7,312
1989,7,312
2009,9,312
2009,7,312
1990,9,312
1992,5,311
1992,7,311
1991,9,311
2009,8,311
2005,6,311
1963,8,311
2006,6,310
1992,6,310
2012,8,310
2009,6,310
2012,7,310
1992,8,310
2006,7,310
1963,6,310
1963,9,310
2012,6,310
1963,5,310
2006,8,309
2006,9,309
1990,7,308
2012,5,308
1963,7,308
2009,5,308
2005,9,307
1990,5,307
2006,5,307
2005,7,307
2012,9,306
2005,8,306
1988,7,306
1962,10,305
1985,7,304
1964,5,304
1992,9,304
2007,7,304
1965,4,304
1986,8,304
1994,6,303
2007,6,303
1977,10,303
1964,6,303
2008,9,302
2007,8,302
2013,6,302
2005,5,302
1994,7,302
1995,10,302
1964,7,301
2013,5,301
1996,10,301
1962,8,301
2013,7,301
2007,5,300
1962,7,300
1964,8,300
1966,4,300
1994,8,300
2007,9,300
2013,8,300
1962,9,300
1994,9,299
2013,9,299
1994,5,299
2014,6,298
1986,10,298
2005,10,298
1964,9,297
1962,6,297
2014,7,297
2014,5,296
2014,8,296
2014,9,296
2008,4,296
1990,10,294
1986,7,294
