date,quality,station,temp,time
2014-03-31,G,102170,4.6,18:00:00
2016-04-21,G,102170,0.2,06:00:00
2016-06-03,G,102170,23.4,18:00:00
1955-11-28,Y,102190,-0.8,12:00:00
1955-12-14,Y,102190,-14.8,06:00:00
1956-11-24,Y,102190,-11.6,12:00:00
1958-01-18,Y,102190,-2.4,00:00:00
1961-03-28,G,102190,-0.2,18:00:00
1961-07-05,G,102190,15.4,12:00:00
1962-09-18,G,102190,5.1,06:00:00
1963-11-09,G,102190,6.0,12:00:00
1965-03-02,G,102190,-2.8,12:00:00
1965-06-25,G,102190,10.0,00:00:00
1966-02-09,G,102190,-21.1,12:00:00
1966-12-06,G,102190,1.0,18:00:00
1967-01-22,G,102190,-14.5,12:00:00
1968-11-25,G,102190,-2.0,18:00:00
1970-01-21,G,102190,-5.0,12:00:00
1970-02-11,G,102190,-13.6,12:00:00
1971-06-13,G,102190,19.3,12:00:00
1971-06-13,G,102190,18.3,18:00:00
1971-06-20,G,102190,13.8,12:00:00
1971-06-24,G,102190,13.3,18:00:00
1971-07-13,G,102190,9.2,06:00:00
1971-12-24,G,102190,5.1,18:00:00
1974-03-18,G,102190,0.1,03:00:00
1975-03-11,G,102190,3.2,12:00:00
1975-09-12,G,102190,10.6,06:00:00
1976-02-15,G,102190,-3.8,18:00:00
1976-03-05,G,102190,-4.6,18:00:00
1976-08-20,G,102190,19.8,12:00:00
1976-11-02,G,102190,-1.7,18:00:00
1978-03-13,G,102190,2.7,15:00:00
1978-03-29,G,102190,3.5,06:00:00
1978-11-17,G,102190,0.4,06:00:00
1979-04-27,G,102190,4.2,18:00:00
1979-05-11,G,102190,11.3,12:00:00
1979-09-03,G,102190,15.2,12:00:00
1979-10-17,G,102190,5.2,09:00:00
2001-09-07,G,102190,6.1,06:00:00
2002-10-31,G,102190,-4.0,06:00:00
2003-06-09,G,102190,15.5,18:00:00
2003-11-21,G,102190,-1.2,06:00:00
2004-12-12,G,102190,-8.2,06:00:00
2005-03-29,G,102190,3.4,18:00:00
2005-06-29,G,102190,12.9,06:00:00
2006-07-13,G,102190,19.6,18:00:00
2006-11-09,G,102190,-1.8,18:00:00
2008-11-17,G,102190,-6.5,06:00:00
2010-08-11,G,102190,16.4,18:00:00
2012-01-26,G,102190,-4.8,18:00:00
2013-07-02,G,102190,12.4,06:00:00
1981-07-08,G,102200,8.2,00:00:00
1981-10-07,G,102200,7.2,09:00:00
1982-01-10,G,102200,-10.2,06:00:00
1982-03-24,G,102200,4.9,15:00:00
1982-05-06,G,102200,0.3,03:00:00
1983-03-13,G,102200,3.5,15:00:00
1983-04-08,G,102200,2.4,12:00:00
1984-01-22,G,102200,-14.4,12:00:00
1984-11-16,G,102200,-1.4,12:00:00
1985-02-09,G,102200,-28.6,09:00:00
1985-02-14,G,102200,-21.7,21:00:00
1985-04-18,G,102200,-0.9,00:00:00
1985-04-28,G,102200,2.6,15:00:00
1985-08-05,G,102200,11.5,00:00:00
1985-12-13,G,102200,3.2,18:00:00
1986-02-24,G,102200,-7.2,15:00:00
1986-06-10,G,102200,19.0,18:00:00
1986-07-09,G,102200,13.4,18:00:00
1987-03-21,G,102200,-0.8,18:00:00
1987-07-26,G,102200,10.0,21:00:00
1987-08-31,G,102200,2.1,21:00:00
1987-10-27,G,102200,3.5,00:00:00
1988-05-08,G,102200,4.0,21:00:00
1988-08-28,G,102210,15.2,12:00:00
1988-11-10,G,102210,-0.2,18:00:00
1989-10-19,G,102210,7.5,21:00:00
1989-11-27,G,102210,-4.1,03:00:00
1990-04-20,G,102210,3.6,03:00:00
1990-05-18,G,102210,3.7,21:00:00
